tag_code,node,slot,event_type_name,n_dets,min_det,max_det,duration_sec,travel_time_sec,residency_hr,node_id,node_order,path,direction
3DD.003D7FF69A,HRSC-OUT,2,Observation,1,2021-10-04T23:56:47Z,2021-10-04T23:56:47Z,0,14678,4.077222222222222,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FF6C8,HRSC-MID,3,Observation,6,2021-12-18T07:25:11Z,2021-12-18T08:11:59Z,2808,181,0.050277777777777775,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003DE65D8F,HRSC-OUT,1,Observation,3,2022-04-01T18:52:39Z,2022-04-01T19:11:07Z,1108,NA,NA,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE65DD5,HRSC-OUT,3,Observation,1,2022-04-02T19:11:12Z,2022-04-02T19:11:12Z,0,19019,5.283055555555555,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE65DF4,HRSC-OUT,1,Observation,61,2022-05-11T01:27:15Z,2022-05-11T01:27:17Z,2,NA,NA,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE65E1E,HRSC-OUT,4,Observation,30,2022-05-11T20:40:23Z,2022-05-11T20:40:26Z,3,1386,0.385,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE65E3D,HRSC-OUT,4,Observation,9,2022-05-07T23:07:26Z,2022-05-07T23:07:27Z,1,735,0.20416666666666666,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE65F9C,HRSC-OUT,1,Observation,1,2022-04-04T20:51:59Z,2022-04-04T20:51:59Z,0,NA,NA,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE65FCE,HRSC-OUT,3,Observation,1,2022-04-05T19:21:13Z,2022-04-05T19:21:13Z,0,23512,6.5311111111111115,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE65FEE,HRSC-OUT,3,Observation,1,2022-04-11T19:06:06Z,2022-04-11T19:06:06Z,0,1863,0.5175,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE66016,HRSC-OUT,1,Observation,1,2022-04-15T19:38:56Z,2022-04-15T19:38:56Z,0,NA,NA,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE66060,HRSC-MID,5,Observation,98,2022-05-28T12:27:25Z,2022-05-28T12:27:32Z,7,783,0.2175,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003DE6607A,HRSC-OUT,2,Observation,60,2022-05-19T20:57:00Z,2022-05-19T20:57:02Z,2,37786,10.49611111111111,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE6607B,HRSC-OUT,3,Observation,1,2022-07-03T23:07:50Z,2022-07-03T23:07:50Z,0,621,0.1725,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE661AA,HRSC-OUT,3,Observation,1,2022-04-06T19:37:25Z,2022-04-06T19:37:25Z,0,2326,0.6461111111111111,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE661D4,HRSC-OUT,1,Observation,1,2022-04-20T19:53:50Z,2022-04-20T19:53:50Z,0,NA,NA,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE66426,HRSC-OUT,3,Observation,1,2022-04-22T19:36:06Z,2022-04-22T19:36:06Z,0,3399,0.9441666666666667,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE665C4,HRSC-OUT,3,Observation,1,2022-04-10T19:09:49Z,2022-04-10T19:09:49Z,0,23284,6.467777777777778,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003DE66A8B,HRSC-OUT,4,Observation,12,2022-06-05T20:21:06Z,2022-06-05T20:21:07Z,1,441,0.1225,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
