tag_code,node,slot,event_type_name,n_dets,min_det,max_det,duration_sec,travel_time_sec,residency_hr,node_id,node_order,path,direction
3DD.003D57FC72,HRSC-MID,3,Observation,70,2022-06-17T17:25:23Z,2022-06-17T17:25:26Z,3,4653904,1292.7511111111112,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FC72,HRSC-MID,4,Observation,146,2022-06-18T04:04:51Z,2022-06-18T04:05:19Z,28,38365,10.656944444444445,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FC72,HRSC-MID,5,Observation,6820,2022-06-18T05:49:59Z,2022-06-22T20:05:24Z,396925,6280,1.7444444444444445,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FC72,HRSC-MID,6,Observation,2,2022-06-22T20:45:20Z,2022-06-22T21:03:15Z,1075,2396,0.6655555555555556,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FC72,HRSC-MID,7,Observation,34,2022-06-23T02:50:29Z,2022-06-27T18:09:57Z,400768,20834,5.787222222222222,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FC72,HRSC-MID,8,Observation,2,2022-06-27T19:09:18Z,2022-06-27T19:12:37Z,199,3561,0.9891666666666666,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FC72,HRSC-MID,9,Observation,22,2022-06-27T19:17:14Z,2022-07-02T18:36:47Z,429573,277,0.07694444444444444,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FF4E,HRSC-MID,7,Observation,6867,2022-06-16T10:31:18Z,2022-06-17T04:11:47Z,63629,111671,31.01972222222222,HRSC5,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FFA6,HRSC-MID,3,Observation,2,2021-11-23T18:14:31Z,2021-11-23T20:47:11Z,9160,51,0.014166666666666666,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D57FFA6,HRSC-MID,5,Observation,2,2021-11-23T21:01:04Z,2021-12-17T10:34:03Z,2035979,99,0.0275,HRSC4,5,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID,forward
3DD.003D58001D,HRSC-OUT,2,Observation,55,2022-06-12T04:56:20Z,2022-06-12T04:56:22Z,2,53608238,14891.177222222223,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D58001D,HRSC-OUT,3,Observation,74,2022-06-12T04:59:20Z,2022-06-12T04:59:24Z,4,178,0.049444444444444444,HRSC7,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D58004A,HRSC-OUT,3,Observation,237,2022-05-05T01:52:01Z,2022-05-05T01:52:09Z,8,3571283,992.0230555555555,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D58004A,HRSC-OUT,4,Observation,138,2022-05-05T02:43:01Z,2022-05-05T02:43:05Z,4,3052,0.8477777777777777,HRSC7,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D58004A,HRSC-OUT,5,Observation,270,2022-05-05T02:47:12Z,2022-05-05T02:47:21Z,9,247,0.06861111111111111,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D5801D5,HRSC-OUT,3,Observation,1,2021-10-15T21:15:50Z,2021-10-15T21:15:50Z,0,4682,1.3005555555555555,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FD9AC,HRSC-OUT,3,Observation,1,2021-12-19T21:01:26Z,2021-12-19T21:01:26Z,0,3971,1.1030555555555555,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FD9AC,HRSC-OUT,4,Observation,1,2021-12-19T21:02:04Z,2021-12-19T21:02:04Z,0,38,0.010555555555555556,HRSC7,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FD9AC,HRSC-OUT,5,Observation,1,2021-12-19T22:16:41Z,2021-12-19T22:16:41Z,0,4477,1.243611111111111,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FDBF0,HRSC-OUT,2,Observation,5,2021-09-05T02:32:12Z,2021-09-05T04:42:44Z,7832,659672,183.2422222222222,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE1A5,HRSC-OUT,2,Observation,1,2021-09-15T22:32:55Z,2021-09-15T22:32:55Z,0,16676,4.6322222222222225,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE21F,HRSC-OUT,7,Observation,1,2021-09-05T09:41:50Z,2021-09-05T09:41:50Z,0,20370,5.658333333333333,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE21F,HRSC-OUT,8,Observation,1,2021-09-05T10:55:32Z,2021-09-05T10:55:32Z,0,4422,1.2283333333333333,HRSC7,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE21F,HRSC-OUT,9,Observation,1,2021-09-05T10:58:15Z,2021-09-05T10:58:15Z,0,163,0.04527777777777778,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE2FA,HRSC-OUT,2,Observation,5,2021-09-29T18:30:05Z,2021-09-29T18:34:32Z,267,34255,9.515277777777778,HRSC7,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE2FA,HRSC-OUT,3,Observation,1,2021-09-29T18:50:43Z,2021-09-29T18:50:43Z,0,971,0.2697222222222222,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE2FA,HRSC-OUT,4,Observation,1,2021-09-29T20:38:22Z,2021-09-29T20:38:22Z,0,6459,1.7941666666666667,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE3B8,HRSC-OUT,2,Observation,1,2021-09-06T23:34:06Z,2021-09-06T23:34:06Z,0,45876,12.743333333333334,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE3BB,HRSC-OUT,2,Observation,2,2021-09-02T18:34:06Z,2021-09-02T18:41:24Z,438,28936,8.037777777777778,HRSC6,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE3BB,HRSC-OUT,3,Observation,1,2021-09-02T18:43:04Z,2021-09-02T18:43:04Z,0,100,0.027777777777777776,HRSC7,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
3DD.003D7FE3BB,HRSC-OUT,4,Observation,1,2021-09-02T20:58:58Z,2021-09-02T20:58:58Z,0,8154,2.265,HRSC8,6,SRSC1 SRSC2 HRSC1-L HRSC-UP HRSC-MID HRSC-OUT,forward
