site,tag,detected,reader,antenna
0HR,3E7.0000001D01,9/23/2022 23:37,1,1
0HR,3DD.003E215384,9/23/2022 23:26,1,2
0HR,3E7.0000001D01,9/23/2022 22:37,1,1
0HR,3E7.0000001D03,9/23/2022 22:37,1,3
0HR,3E7.0000001D02,9/23/2022 22:37,1,2
0HR,384.1B7976A6FE,9/23/2022 22:18,1,2
0HR,3DD.003DE6628B,9/23/2022 22:05,1,2
0HR,3E7.0000001D01,9/23/2022 21:37,1,1
0HR,3E7.0000001D03,9/23/2022 21:37,1,3
0HR,3E7.0000001D02,9/23/2022 21:37,1,2
0HR,3DD.003DE66246,9/23/2022 20:58,1,1
0HR,3E7.0000001D03,9/23/2022 20:37,1,3
0HR,3E7.0000001D02,9/23/2022 20:37,1,2
0HR,3E7.0000001D01,9/23/2022 20:37,1,1
0HR,3DD.003DE66937,9/23/2022 20:13,1,1
0HR,3E7.0000001D02,9/23/2022 19:37,1,2
0HR,3E7.0000001D01,9/23/2022 19:37,1,1
0HR,3E7.0000001D03,9/23/2022 19:37,1,3
0HR,3E7.0000001D03,9/23/2022 18:37,1,3
0HR,3E7.0000001D02,9/23/2022 18:37,1,2
0HR,3E7.0000001D01,9/23/2022 18:37,1,1
0HR,3E7.0000001D02,9/23/2022 17:37,1,2
0HR,3E7.0000001D01,9/23/2022 17:37,1,1
0HR,3E7.0000001D03,9/23/2022 17:37,1,3
0HR,3E7.0000001D03,9/23/2022 16:37,1,3
0HR,3E7.0000001D02,9/23/2022 16:37,1,2
0HR,3E7.0000001D01,9/23/2022 16:37,1,1
0HR,3E7.0000001D02,9/23/2022 15:37,1,2
0HR,3E7.0000001D01,9/23/2022 15:37,1,1
0HR,3E7.0000001D03,9/23/2022 15:37,1,3
0HR,3E7.0000001D02,9/23/2022 14:37,1,2
0HR,3E7.0000001D01,9/23/2022 14:37,1,1
0HR,3E7.0000001D03,9/23/2022 14:37,1,3
0HR,3E7.0000001D01,9/23/2022 13:37,1,1
0HR,3E7.0000001D03,9/23/2022 13:37,1,3
0HR,3E7.0000001D02,9/23/2022 13:37,1,2
